1001,Jan,Nowak,Lublin,nie
1002,Stanislaw,Kowalski,Rzeszow,nie
1003,Andrzej,Wisniewski,Warszawa,nie
1004,Jozef,Dabrowski,Warszawa,nie
1005,Tadeusz,Lewandowski,Warszawa,tak
1006,Jerzy,Wojcik,Kielce,nie
1007,Zbigniew,Kaminski,Krakow,nie
1008,Krzysztof,Kowalczyk,Krakow,nie
1009,Henryk,Zielinski,Katowice,nie
1010,Ryszard,Szymanski,Lodz,nie
1011,Kazimierz,Wozniak,Lodz,nie
1012,Marek,Kozlowski,Gdansk,tak
1013,Marian,Jankowski,Gdansk,tak
1014,Piotr,Wojciechowski,Wroclaw,tak
1015,Janusz,Kwiatkowski,Wroclaw,nie
1016,Wladyslaw,Kaczmarek,Wroclaw,nie
1017,Adam,Mazur,Poznan,nie
1018,Wieslaw,Krawczyk,Poznan,nie
1019,Zdzislaw,Piotrowski,Poznan,nie
1020,Edward,Grabowski,Szczecin,tak
1021,Mieczyslaw,Nowakowski,Szczecin,nie
1022,Roman,Pawlowski,Bialystok,tak
1023,Miroslaw,Michalski,Lublin,tak
1024,Grzegorz,Nowicki,Rzeszow,nie
1025,Czeslaw,Adamczyk,Warszawa,tak
1026,Dariusz,Dudek,Warszawa,nie
1027,Wojciech,Zajac,Warszawa,nie
1028,Jacek,Wieczorek,Kielce,nie
1029,Tomasz,Jablonski,Krakow,tak
1030,Stefan,Krol,Krakow,tak
1031,Zygmunt,Majewski,Katowice,nie
1032,Leszek,Olszewski,Lodz,nie
1033,Bogdan,Jaworski,Lodz,nie
1034,Antoni,Wrobel,Gdansk,nie
1035,Pawel,Malinowski,Gdansk,tak
1036,Franciszek,Pawlak,Wroclaw,nie
1037,Jaroslaw,Witkowski,Wroclaw,nie
1038,Robert,Walczak,Wroclaw,nie
1039,Mariusz,Stepie�,Poznan,nie
1040,Wlodzimierz,Gorski,Poznan,nie
1041,Michal,Rutkowski,Poznan,tak
1042,Zenon,Michalak,Szczecin,tak
1043,Boguslaw,Sikora,Szczecin,nie
1044,Witold,Ostrowski,Bialystok,nie
